"Effect_Size_ID","Study_ID","Species_ID","Study_Pop_ID_(1)","Study_Pop_ID_(2)","Treatment_ID","Trait_ID","RNG","First_Author","Title","Publication_Year","Journal","Impact_Factor","Scientific_Name","Ecosystem","First_Population","Second_Population","Type","T1","T2","Treatment_Unit","Category","Measurement","Trait_Unit","Percentage_Transformation","Proportion_Transformation","Plasticity_Category","n_(P1T1)","Mean_(P1T1)","SD_(P1T1)","n_(P1T2)","Mean_(P1T2)","SD_(P1T2)","n_(P2T1)","Mean_(P2T1)","SD_(P2T1)","n_(P2T2)","Mean_(P2T2)","SD_(P2T2)"
273,20,1,20.6,20.7,1,5,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Rosseau","Little Campbell","Predator","Absent","Present",NA,"Morphology","Lateral Plate Number","mm","No","No","Developmental",2,6.84285714285714,0.62629457762237,2,6.65,0.494974746830583,4,32.6948863636364,0.294826693034433,4,32.9702089169001,0.410635627677744
274,20,1,20.6,20.8,1,5,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Rosseau","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Lateral Plate Number","mm","No","No","Developmental",2,6.84285714285714,0.62629457762237,2,6.65,0.494974746830583,4,30.9270833333333,2.89403421330464,4,31.6744066047472,1.64975524889594
275,20,1,20.7,20.8,1,5,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Little Campbell","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Lateral Plate Number","mm","No","No","Developmental",4,32.6948863636364,0.294826693034433,4,32.9702089169001,0.410635627677744,4,30.9270833333333,2.89403421330464,4,31.6744066047472,1.64975524889594
276,20,1,20.1,20.2,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Kirk","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.23818181818182,0.176649773089057,4,1.30637019230769,0.160920260441815,4,1.49729994270435,0.176088065811762,4,1.51979166666667,0.107871612216663
277,20,1,20.1,20.3,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Trout","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.23818181818182,0.176649773089057,4,1.30637019230769,0.160920260441815,4,1.43860119047619,0.0818673995970316,4,1.5312403250774,0.128820612156668
278,20,1,20.1,20.4,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Paq","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.23818181818182,0.176649773089057,4,1.30637019230769,0.160920260441815,4,1.54066102756892,0.116160468206381,4,1.42852805089647,0.201990649162932
279,20,1,20.1,20.5,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Ambrose","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.23818181818182,0.176649773089057,4,1.30637019230769,0.160920260441815,3,1.83888888888889,0.0346944333244355,3,1.78444444444444,0.20014809331907
280,20,1,20.1,20.6,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Rosseau","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.23818181818182,0.176649773089057,4,1.30637019230769,0.160920260441815,2,1.55535714285714,0.184352839380778,2,1.8775,0.385373195746669
281,20,1,20.1,20.7,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Little Campbell","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.23818181818182,0.176649773089057,4,1.30637019230769,0.160920260441815,4,1.27913961038961,0.113905178339509,4,1.16320028011204,0.151652816926468
282,20,1,20.1,20.8,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.23818181818182,0.176649773089057,4,1.30637019230769,0.160920260441815,4,1.22155032467532,0.0849400307957943,4,1.27227382180943,0.114171240763733
283,20,1,20.2,20.3,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Trout","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.49729994270435,0.176088065811762,4,1.51979166666667,0.107871612216663,4,1.43860119047619,0.0818673995970316,4,1.5312403250774,0.128820612156668
284,20,1,20.2,20.4,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Paq","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.49729994270435,0.176088065811762,4,1.51979166666667,0.107871612216663,4,1.54066102756892,0.116160468206381,4,1.42852805089647,0.201990649162932
285,20,1,20.2,20.5,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Ambrose","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.49729994270435,0.176088065811762,4,1.51979166666667,0.107871612216663,3,1.83888888888889,0.0346944333244355,3,1.78444444444444,0.20014809331907
286,20,1,20.2,20.6,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Rosseau","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.49729994270435,0.176088065811762,4,1.51979166666667,0.107871612216663,2,1.55535714285714,0.184352839380778,2,1.8775,0.385373195746669
287,20,1,20.2,20.7,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Little Campbell","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.49729994270435,0.176088065811762,4,1.51979166666667,0.107871612216663,4,1.27913961038961,0.113905178339509,4,1.16320028011204,0.151652816926468
288,20,1,20.2,20.8,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.49729994270435,0.176088065811762,4,1.51979166666667,0.107871612216663,4,1.22155032467532,0.0849400307957943,4,1.27227382180943,0.114171240763733
289,20,1,20.3,20.4,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Paq","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.43860119047619,0.0818673995970316,4,1.5312403250774,0.128820612156668,4,1.54066102756892,0.116160468206381,4,1.42852805089647,0.201990649162932
290,20,1,20.3,20.5,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Ambrose","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.43860119047619,0.0818673995970316,4,1.5312403250774,0.128820612156668,3,1.83888888888889,0.0346944333244355,3,1.78444444444444,0.20014809331907
291,20,1,20.3,20.6,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Rosseau","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.43860119047619,0.0818673995970316,4,1.5312403250774,0.128820612156668,2,1.55535714285714,0.184352839380778,2,1.8775,0.385373195746669
292,20,1,20.3,20.7,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Little Campbell","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.43860119047619,0.0818673995970316,4,1.5312403250774,0.128820612156668,4,1.27913961038961,0.113905178339509,4,1.16320028011204,0.151652816926468
293,20,1,20.3,20.8,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.43860119047619,0.0818673995970316,4,1.5312403250774,0.128820612156668,4,1.22155032467532,0.0849400307957943,4,1.27227382180943,0.114171240763733
294,20,1,20.4,20.5,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Ambrose","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.54066102756892,0.116160468206381,4,1.42852805089647,0.201990649162932,3,1.83888888888889,0.0346944333244355,3,1.78444444444444,0.20014809331907
295,20,1,20.4,20.6,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Rosseau","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.54066102756892,0.116160468206381,4,1.42852805089647,0.201990649162932,2,1.55535714285714,0.184352839380778,2,1.8775,0.385373195746669
296,20,1,20.4,20.7,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Little Campbell","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.54066102756892,0.116160468206381,4,1.42852805089647,0.201990649162932,4,1.27913961038961,0.113905178339509,4,1.16320028011204,0.151652816926468
297,20,1,20.4,20.8,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.54066102756892,0.116160468206381,4,1.42852805089647,0.201990649162932,4,1.22155032467532,0.0849400307957943,4,1.27227382180943,0.114171240763733
298,20,1,20.5,20.6,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Ambrose","Rosseau","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",3,1.83888888888889,0.0346944333244355,3,1.78444444444444,0.20014809331907,2,1.55535714285714,0.184352839380778,2,1.8775,0.385373195746669
299,20,1,20.5,20.7,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Ambrose","Little Campbell","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",3,1.83888888888889,0.0346944333244355,3,1.78444444444444,0.20014809331907,4,1.27913961038961,0.113905178339509,4,1.16320028011204,0.151652816926468
300,20,1,20.5,20.8,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Ambrose","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",3,1.83888888888889,0.0346944333244355,3,1.78444444444444,0.20014809331907,4,1.22155032467532,0.0849400307957943,4,1.27227382180943,0.114171240763733
301,20,1,20.6,20.7,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Rosseau","Little Campbell","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",2,1.55535714285714,0.184352839380778,2,1.8775,0.385373195746669,4,1.27913961038961,0.113905178339509,4,1.16320028011204,0.151652816926468
302,20,1,20.6,20.8,1,6,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Rosseau","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",2,1.55535714285714,0.184352839380778,2,1.8775,0.385373195746669,4,1.22155032467532,0.0849400307957943,4,1.27227382180943,0.114171240763733
303,20,1,20.7,20.8,1,6,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Little Campbell","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Gape Width","mm","No","No","Developmental",4,1.27913961038961,0.113905178339509,4,1.16320028011204,0.151652816926468,4,1.22155032467532,0.0849400307957943,4,1.27227382180943,0.114171240763733
304,20,1,20.1,20.2,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Kirk","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,30.5604166666667,2.16896646107294,4,32.8296634615385,3.41597807695883,4,31.0894981856379,1.44372009303792,4,30.9626736111111,0.454069099484298
305,20,1,20.1,20.3,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Trout","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,30.5604166666667,2.16896646107294,4,32.8296634615385,3.41597807695883,4,35.408125,2.56280394538872,4,35.5222206585984,1.59065994690885
306,20,1,20.1,20.4,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Paq","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,30.5604166666667,2.16896646107294,4,32.8296634615385,3.41597807695883,4,35.4636434837093,2.47269022717026,4,33.8343930740312,1.03914862117753
307,20,1,20.1,20.5,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Ambrose","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,30.5604166666667,2.16896646107294,4,32.8296634615385,3.41597807695883,3,39.1416666666667,0.576808749355739,3,38.5720634920635,3.65671703043388
308,20,1,20.1,20.6,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Rosseau","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,30.5604166666667,2.16896646107294,4,32.8296634615385,3.41597807695883,2,36.6378571428571,0.491944289196929,2,45.9675,11.0061170491687
309,20,1,20.1,20.7,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Little Campbell","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,30.5604166666667,2.16896646107294,4,32.8296634615385,3.41597807695883,4,31.3732548701299,1.9304406643077,4,32.3492442810457,1.46175633649278
310,20,1,20.1,20.8,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Cranby","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,30.5604166666667,2.16896646107294,4,32.8296634615385,3.41597807695883,4,31.3222974941725,1.20533410386999,4,32.0227210182319,1.16893751518411
311,20,1,20.2,20.3,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Trout","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,31.0894981856379,1.44372009303792,4,30.9626736111111,0.454069099484298,4,35.408125,2.56280394538872,4,35.5222206585984,1.59065994690885
312,20,1,20.2,20.4,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Paq","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,31.0894981856379,1.44372009303792,4,30.9626736111111,0.454069099484298,4,35.4636434837093,2.47269022717026,4,33.8343930740312,1.03914862117753
313,20,1,20.2,20.5,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Ambrose","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,31.0894981856379,1.44372009303792,4,30.9626736111111,0.454069099484298,3,39.1416666666667,0.576808749355739,3,38.5720634920635,3.65671703043388
314,20,1,20.2,20.6,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Rosseau","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,31.0894981856379,1.44372009303792,4,30.9626736111111,0.454069099484298,2,36.6378571428571,0.491944289196929,2,45.9675,11.0061170491687
315,20,1,20.2,20.7,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Little Campbell","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,31.0894981856379,1.44372009303792,4,30.9626736111111,0.454069099484298,4,31.3732548701299,1.9304406643077,4,32.3492442810457,1.46175633649278
316,20,1,20.2,20.8,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Kirk","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,31.0894981856379,1.44372009303792,4,30.9626736111111,0.454069099484298,4,31.3222974941725,1.20533410386999,4,32.0227210182319,1.16893751518411
317,20,1,20.3,20.4,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Paq","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.408125,2.56280394538872,4,35.5222206585984,1.59065994690885,4,35.4636434837093,2.47269022717026,4,33.8343930740312,1.03914862117753
318,20,1,20.3,20.5,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Ambrose","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.408125,2.56280394538872,4,35.5222206585984,1.59065994690885,3,39.1416666666667,0.576808749355739,3,38.5720634920635,3.65671703043388
319,20,1,20.3,20.6,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Rosseau","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.408125,2.56280394538872,4,35.5222206585984,1.59065994690885,2,36.6378571428571,0.491944289196929,2,45.9675,11.0061170491687
320,20,1,20.3,20.7,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Little Campbell","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.408125,2.56280394538872,4,35.5222206585984,1.59065994690885,4,31.3732548701299,1.9304406643077,4,32.3492442810457,1.46175633649278
321,20,1,20.3,20.8,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Trout","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.408125,2.56280394538872,4,35.5222206585984,1.59065994690885,4,31.3222974941725,1.20533410386999,4,32.0227210182319,1.16893751518411
322,20,1,20.4,20.5,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Ambrose","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.4636434837093,2.47269022717026,4,33.8343930740312,1.03914862117753,3,39.1416666666667,0.576808749355739,3,38.5720634920635,3.65671703043388
323,20,1,20.4,20.6,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Rosseau","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.4636434837093,2.47269022717026,4,33.8343930740312,1.03914862117753,2,36.6378571428571,0.491944289196929,2,45.9675,11.0061170491687
324,20,1,20.4,20.7,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Little Campbell","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.4636434837093,2.47269022717026,4,33.8343930740312,1.03914862117753,4,31.3732548701299,1.9304406643077,4,32.3492442810457,1.46175633649278
325,20,1,20.4,20.8,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Paq","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,35.4636434837093,2.47269022717026,4,33.8343930740312,1.03914862117753,4,31.3222974941725,1.20533410386999,4,32.0227210182319,1.16893751518411
326,20,1,20.5,20.6,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Ambrose","Rosseau","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",3,39.1416666666667,0.576808749355739,3,38.5720634920635,3.65671703043388,2,36.6378571428571,0.491944289196929,2,45.9675,11.0061170491687
327,20,1,20.5,20.7,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Ambrose","Little Campbell","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",3,39.1416666666667,0.576808749355739,3,38.5720634920635,3.65671703043388,4,31.3732548701299,1.9304406643077,4,32.3492442810457,1.46175633649278
328,20,1,20.5,20.8,1,7,2,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Ambrose","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",3,39.1416666666667,0.576808749355739,3,38.5720634920635,3.65671703043388,4,31.3222974941725,1.20533410386999,4,32.0227210182319,1.16893751518411
329,20,1,20.6,20.7,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Rosseau","Little Campbell","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",2,36.6378571428571,0.491944289196929,2,45.9675,11.0061170491687,4,31.3732548701299,1.9304406643077,4,32.3492442810457,1.46175633649278
330,20,1,20.6,20.8,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Rosseau","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",2,36.6378571428571,0.491944289196929,2,45.9675,11.0061170491687,4,31.3222974941725,1.20533410386999,4,32.0227210182319,1.16893751518411
331,20,1,20.7,20.8,1,7,1,"Miller, S. E.","Intraguild predation leads to genetically based character shifts in the threespine stickleback",2015,"Evolution",3.742,"Gasterosteus aculeatus","Aquatic","Little Campbell","Oyster Bay","Predator","Absent","Present",NA,"Morphology","Standard Length","mm","No","No","Developmental",4,31.3732548701299,1.9304406643077,4,32.3492442810457,1.46175633649278,4,31.3222974941725,1.20533410386999,4,32.0227210182319,1.16893751518411
332,21,1,21.1,21.2,1,1,1,"Brennan, R. S.","Reciprocal osmotic challenges reveal mechanisms of divergence in phenotypic plasticity in the killifish Fundulus heteroclitus",2015,"Journal of Experimental Biology",3.312,"Fundulus heteroclitus","Aquatic","Point Lookout State Park","Piscataway Park","Salinity","0.2","11.8","ppt","Biochemical Assay","Plasma Sodium Concentration","mmol l-1","No","No","Acclimation",5,154.264705882353,18.7435109878659,5,178.740740740741,7.95046391999929,5,164.632352941176,7.72758786341835,5,181.111111111111,8.11609858499921
333,21,1,21.1,21.2,1,2,1,"Brennan, R. S.","Reciprocal osmotic challenges reveal mechanisms of divergence in phenotypic plasticity in the killifish Fundulus heteroclitus",2015,"Journal of Experimental Biology",3.312,"Fundulus heteroclitus","Aquatic","Point Lookout State Park","Piscataway Park","Salinity","0.2","11.8","ppt","Biochemical Assay","Plasma Chloride Concentration","mmol l-1","No","No","Acclimation",5,98.356940509915,11.6870975027964,5,160.442477876106,3.85870137710139,5,104.85835694051,7.6963812823293,5,160.309734513274,5.9364636570791
334,22,1,22.1,22.2,1,1,2,"Velotta, J. P.","Trade-offs in osmoregulation and parallel shifts in molecular function follow ecological transitions to freshwater in the Alewife",2015,"Evolution",3.742,"Alosa pseudoharengus","Aquatic","Bride Lake","Pattagansett Lake","Salinity","30","35","ppt","Biochemical Assay","Plasma Osmolality","mOsm/kg","No","No","Acclimation",12,320.967283072546,15.7683146066014,12,347.596017069701,24.4408876402324,12,342.588904694168,9.46098876396083,12,354.651493598862,11.8262359549511
335,22,1,22.1,22.3,1,1,1,"Velotta, J. P.","Trade-offs in osmoregulation and parallel shifts in molecular function follow ecological transitions to freshwater in the Alewife",2015,"Evolution",3.742,"Alosa pseudoharengus","Aquatic","Bride Lake","Rogers Lake","Salinity","30","35","ppt","Biochemical Assay","Plasma Osmolality","mOsm/kg","No","No","Acclimation",12,320.967283072546,15.7683146066014,12,347.596017069701,24.4408876402324,12,336.671408250356,7.88415730330079,12,371.26600284495,17.3451460672616
